Precinct,L1_total,L1_Black,L1_Hisp,L1_white,L1_ME,L2_total,L2_Black,L2_Hisp,L2_white,L2_ME,L3_total,L3_Black,L3_Hisp,L3_white,L3_ME
1,"12,098","4,377","2,154","3,457",553,9,6,1,0,0,46,23,11,10,1
5,"10,833","3,019","1,777","2,066",190,8,3,2,3,0,47,17,22,4,0
6,"6,352","2,020","1,155","2,319",155,2,2,0,0,0,27,14,8,4,0
7,"11,462","3,835","3,339","2,181",433,9,3,5,1,0,57,26,23,5,2
9,"12,684","3,586","3,428","3,910",322,11,4,5,2,0,51,21,18,10,0
10,"7,811","2,421","1,784","2,219",303,2,1,0,0,0,18,7,9,2,0
13,"7,914","2,938","1,633","2,088",190,7,5,1,1,0,64,27,23,10,1
14,"14,180","5,264","3,359","2,809",362,25,7,10,7,0,107,49,33,17,3
17,"7,031","1,939","1,307","2,371",319,4,2,0,1,1,28,13,7,6,0
18,"10,356","2,831","1,979","2,314",259,11,4,1,6,0,96,40,25,25,2
19,"9,616","2,449","2,174","3,538",258,11,4,4,3,0,50,26,18,5,0
20,"6,755","1,869","1,512","2,169",96,6,2,3,1,0,39,20,11,7,0
22,"1,086",236,171,508,55,0,0,0,0,0,8,8,0,0,0
23,"9,444","4,050","3,186",993,236,71,38,15,0,0,119,78,32,6,3
24,"7,243","2,984","2,004","1,651",105,76,14,21,2,3,79,46,26,6,1
25,"8,967","4,983","2,596",676,191,81,54,23,1,0,78,51,24,3,0
26,"5,576","2,787","1,404",761,202,63,36,21,3,1,56,42,11,3,0
28,"10,708","7,229","2,110",684,185,89,68,9,2,2,154,122,29,1,1
30,"5,747","2,006","2,210",524,107,43,16,24,1,0,41,26,15,0,0
32,"12,142","8,343","2,195",604,344,129,104,20,0,2,101,84,15,1,1
33,"8,375","1,932","5,516",560,123,226,46,172,2,2,56,24,29,3,0
34,"9,792","1,512","6,678",949,117,204,41,149,6,2,83,23,56,4,0
40,"13,441","5,330","5,506",567,166,663,144,146,11,1,395,211,153,14,4
41,"7,810","2,737","3,697",317,87,176,89,73,3,0,108,52,55,1,0
42,"6,684","3,368","2,489",268,161,533,302,173,6,5,246,166,75,1,2
43,"15,212","5,673","6,757",397,281,142,56,62,2,0,331,190,132,6,1
44,"11,229","3,712","4,195",299,135,233,90,118,3,0,222,110,103,2,3
45,"8,487","2,818","3,249","1,409",186,101,42,48,6,3,70,37,21,9,1
46,"12,681","5,225","6,532",410,187,416,144,238,6,0,356,187,162,3,2
47,"11,584","6,731","2,864",487,257,256,149,42,3,4,172,126,41,2,1
48,"14,606","5,970","7,262",661,164,848,407,327,17,4,492,305,174,10,3
49,"7,170","2,566","2,881",847,239,79,43,22,4,1,88,59,25,3,1
50,"6,886","1,519","3,115","1,033",119,64,15,43,2,0,41,17,20,4,0
52,"17,125","4,461","7,667",777,236,317,118,183,3,1,197,73,121,3,0
60,"12,837","5,117","2,182","3,749",584,151,92,23,31,2,86,41,8,32,4
61,"11,102","2,194","1,214","6,083",430,44,17,6,17,2,96,25,19,47,1
62,"8,128",770,"1,962","3,400",400,42,2,6,13,1,40,3,15,18,2
63,"9,252","5,281",688,"2,138",249,21,19,0,2,0,53,41,10,2,0
66,"5,654",718,"1,062","2,068",152,78,2,6,2,0,62,6,20,8,6
67,"15,179","12,222","1,200",603,357,145,122,8,3,1,162,141,17,0,2
68,"7,441",889,"1,462","2,991",630,30,4,7,4,6,67,16,18,15,7
69,"9,374","7,526",733,401,234,110,98,5,1,3,80,72,7,0,1
70,"12,169","6,286","1,566","2,430",421,68,52,3,2,5,68,42,7,13,2
71,"5,699","3,876",664,797,83,117,98,10,6,2,61,52,3,4,1
72,"15,182","2,010","4,934","1,702",237,106,3,58,5,0,70,9,39,7,4
73,"17,543","12,785","2,013",522,189,510,283,39,7,3,223,194,27,1,1
75,"14,435","8,946","3,212",575,313,"1,532","1,181",239,34,8,361,281,55,12,10
76,"9,370","3,194","2,092","2,807",326,17,8,4,3,1,39,12,11,12,2
77,"5,972","4,168",562,575,133,251,214,27,4,2,126,107,12,5,2
78,"6,236","2,401","1,053","1,338",107,16,12,3,1,0,73,42,18,11,2
79,"8,306","5,353","1,472",815,184,78,57,12,1,0,121,94,17,7,0
81,"8,700","5,949","1,246",668,233,135,107,18,5,0,104,88,13,3,0
83,"9,398","2,721","4,782","1,202",179,214,92,112,8,0,101,50,41,7,0
84,"8,486","4,279","1,195","1,769",180,38,28,6,3,0,71,52,14,4,1
88,"5,870","3,587",958,819,122,60,41,16,1,0,36,27,5,3,0
90,"12,617","3,344","3,591","4,063",228,124,50,59,6,1,58,20,34,3,0
94,"6,444","1,818","1,284","2,567",140,8,2,2,2,0,36,13,12,10,0
100,"3,776","1,902",550,976,68,15,9,3,3,0,20,16,2,1,0
101,"7,889","4,766","1,293",928,134,92,75,15,1,0,88,66,15,5,1
102,"10,172","1,450","3,137","1,048",695,88,20,47,4,1,39,11,15,4,0
103,"12,506","5,855","2,794",676,473,311,228,42,4,1,114,82,28,3,1
104,"9,417","1,413","3,898","2,935",308,13,1,8,4,0,37,6,23,7,0
105,"7,144","3,298",888,767,437,34,21,5,0,0,61,40,8,1,1
106,"7,090","1,679","1,170",789,213,58,20,12,4,1,47,11,19,7,0
107,"5,647","1,517","1,179","1,134",345,30,15,3,2,1,47,25,13,9,0
108,"6,162","1,139","2,284","1,294",298,16,7,7,1,0,43,6,29,6,0
109,"13,972","1,413","3,224","2,263",234,18,0,14,2,0,55,9,31,1,1
110,"9,248","1,014","6,276",533,179,125,23,88,7,0,92,15,64,3,3
111,"5,713",576,960,"1,967",199,7,1,2,0,0,17,3,8,3,1
112,"6,084","1,173","1,387","2,280",207,12,1,2,7,0,37,12,11,8,1
113,"8,880","5,269",729,120,215,355,154,28,3,2,106,93,10,0,1
114,"10,284","3,458","3,092","2,206",349,63,25,20,4,4,93,31,34,18,5
115,"6,595",723,"4,479",359,174,88,9,67,3,0,72,10,57,3,1
116,"8,607","6,508",869,345,182,259,198,37,3,1,69,55,9,2,0
120,"8,221","3,537","1,656","2,008",466,154,111,28,7,2,122,94,9,13,2
121,"10,352","3,141","2,290","3,590",462,58,32,13,11,1,84,42,20,17,4
122,"7,639",915,945,"4,454",261,8,3,1,3,0,42,13,7,22,0
123,"4,451",240,397,"3,151",308,6,1,1,4,0,15,4,6,4,1
