Precinct,L1_total,L1_Black,L1_Hisp,L1_white,L1_ME,L2_total,L2_Black,L2_Hisp,L2_white,L2_ME,L3_total,L3_Black,L3_Hisp,L3_white,L3_ME
1,"6,804","2,841","1,193","1,796",254,4,1,0,3,0,44,21,12,9,0
5,"5,252","1,533",901,"1,024",96,5,4,0,0,0,35,17,12,2,1
6,"4,019","1,194",836,"1,472",144,2,1,0,1,0,38,17,13,7,0
7,"5,988","2,185","1,926","1,001",117,11,4,5,0,0,56,29,20,5,1
9,"9,444","2,853","2,486","2,685",205,4,2,2,0,0,34,15,12,4,1
10,"6,140","1,986","1,457","1,685",227,2,1,0,0,0,18,10,7,1,0
13,"7,252","2,578","1,509","1,894",157,12,10,1,1,0,46,24,12,9,0
14,"11,912","4,762","2,743","2,404",303,21,12,3,4,0,98,48,37,12,1
17,"2,399",658,453,913,64,2,1,1,0,0,21,16,3,1,1
18,"5,742","1,738","1,097","1,449",177,11,4,2,3,0,35,15,11,6,2
19,"9,744","2,534","2,253","3,475",209,17,4,9,1,3,54,27,20,6,0
20,"6,568","1,697","1,509","2,221",92,9,3,5,1,0,43,23,11,6,2
22,"1,080",275,235,434,42,2,2,0,0,0,11,8,2,1,0
23,"7,810","3,207","2,861",818,185,75,45,22,1,0,136,83,49,4,0
24,"8,200","3,152","2,333","1,956",98,54,34,14,2,1,56,35,18,2,1
25,"8,170","4,440","2,446",570,118,101,69,27,2,0,87,57,26,1,2
26,"4,712","2,306","1,290",548,124,47,35,10,0,0,48,31,14,1,2
28,"10,638","7,346","1,900",666,186,127,101,20,1,2,141,113,25,3,0
30,"6,285","2,300","2,689",526,71,40,21,17,1,1,61,34,24,3,0
32,"9,884","6,701","1,945",448,130,94,74,16,2,0,109,85,20,1,1
33,"7,309","1,647","4,647",593,109,63,5,58,0,0,36,5,29,2,0
34,"8,706","1,246","6,051",735,79,61,14,45,0,0,52,22,28,2,0
40,"11,663","4,696","4,769",410,149,520,189,100,16,2,354,200,128,15,4
41,"6,001","2,216","2,875",246,68,76,26,47,2,0,58,35,22,0,0
42,"6,314","3,350","2,306",215,72,305,187,96,5,1,191,125,59,1,1
43,"9,965","3,963","4,507",238,190,121,43,54,3,2,272,149,114,4,5
44,"12,240","4,074","5,074",381,101,164,57,91,3,0,176,93,82,0,1
45,"8,209","2,625","3,439","1,434",198,91,44,35,5,2,57,28,17,9,1
46,"10,725","4,478","5,351",398,117,263,102,135,0,3,337,155,179,2,1
47,"8,088","4,860","2,105",323,109,208,126,29,1,1,159,116,41,2,0
48,"14,930","6,175","7,419",719,199,491,245,196,6,2,422,293,124,4,0
49,"7,300","2,492","2,993",880,223,94,53,27,5,3,117,80,34,2,1
50,"6,222","1,371","2,860",939,66,20,4,12,2,0,21,7,14,0,0
52,"17,060","4,545","7,845",735,198,309,107,162,2,2,213,105,107,1,0
60,"10,011","4,301","1,810","2,912",306,201,111,29,52,3,64,34,14,15,0
61,"10,565","1,930","1,280","6,024",294,23,4,2,14,1,62,25,6,26,1
62,"8,871",856,"2,301","3,452",318,23,4,4,8,2,26,5,12,7,0
63,"6,969","3,520",635,"2,047",191,25,18,2,3,1,56,42,8,4,0
66,"6,468",684,"1,558","2,436",196,28,1,5,4,0,27,2,10,5,1
67,"14,556","11,964","1,078",560,245,84,71,5,2,2,110,100,8,1,1
68,"6,584",636,"1,400","2,776",503,29,6,3,5,0,30,8,6,11,4
69,"8,045","6,693",526,351,170,267,240,11,3,1,118,111,4,1,0
70,"9,836","4,722","1,325","1,914",357,15,9,2,3,1,46,30,4,8,0
71,"6,950","4,992",578,"1,042",106,214,183,24,5,0,35,30,3,2,0
72,"12,731","1,758","4,429","1,570",142,67,5,37,2,0,32,4,19,4,2
73,"17,695","13,204","2,383",535,188,381,295,47,3,2,110,89,18,2,0
75,"14,932","9,289","3,260",658,258,881,700,141,13,1,281,237,38,1,3
76,"7,435","2,623","1,671","2,231",206,35,23,7,2,1,43,25,11,6,1
77,"4,357","3,054",504,399,81,174,148,18,5,0,108,100,3,4,1
78,"4,942","1,540",637,939,109,16,10,4,0,0,44,29,8,5,0
79,"7,741","5,052","1,280",871,151,112,79,20,4,1,114,87,21,2,1
81,"8,199","5,376","1,340",596,180,66,58,5,1,0,75,65,8,1,0
83,"9,467","2,615","4,842","1,264",136,83,28,51,0,1,74,25,39,9,1
84,"8,823","4,427","1,418","1,756",188,21,16,5,0,0,54,38,10,6,0
88,"4,971","2,918",831,696,96,73,44,23,4,0,51,29,15,5,0
90,"8,414","2,392","2,845","2,230",145,118,49,56,4,1,51,22,25,3,1
94,"5,249","1,452","1,101","2,117",101,6,4,1,1,0,22,8,5,7,1
100,"4,802","2,413",723,"1,251",77,23,17,0,3,0,32,15,5,12,0
101,"6,338","3,895","1,084",594,98,27,18,5,0,0,55,45,7,2,1
102,"10,152","1,458","3,387",912,470,39,5,19,2,0,40,12,18,3,0
103,"8,718","3,952","2,009",393,167,166,121,37,1,0,80,60,18,0,0
104,"7,977","1,161","3,391","2,430",196,4,1,2,1,0,44,7,29,4,1
105,"6,292","3,694",743,479,205,126,115,7,1,0,77,56,12,2,0
106,"6,446","1,644","1,026",764,137,44,13,10,3,0,49,21,12,11,0
107,"7,142","1,872","1,454","1,530",402,11,5,4,0,1,20,9,5,3,0
108,"4,975",852,"1,928",943,214,18,3,9,2,0,33,10,15,5,0
109,"7,908",827,"2,012","1,218",107,14,0,4,1,0,42,10,20,5,0
110,"5,711",454,"3,861",292,124,107,26,71,4,0,86,9,65,2,4
111,"4,827",436,888,"1,658",91,5,0,3,2,0,36,14,14,3,1
112,"6,406","1,164","1,519","2,301",218,14,2,8,1,1,54,16,22,10,0
113,"7,897","5,339",780,130,169,292,231,39,2,1,73,62,8,1,1
114,"8,885","3,174","2,744","1,630",261,42,16,18,2,2,71,44,20,3,1
115,"5,858",545,"4,015",307,139,115,13,89,5,1,65,7,49,1,0
116,699,573,56,25,8,23,20,2,0,0,3,2,0,1,0
120,"4,720","2,057","1,111","1,167",124,104,76,15,9,1,95,66,20,9,0
121,"7,650","2,145","1,759","2,724",286,14,8,3,2,1,58,35,19,3,0
122,"6,903",929,871,"4,167",222,6,1,0,3,1,28,7,13,8,0
123,"2,746",127,287,"1,937",111,1,0,0,1,0,19,8,2,6,0
